1 length=	195471971	Aligned= 12965075	Unaligned= 10094
10 length=	130694993	Aligned= 9099743	Unaligned= 6261
11 length=	122082543	Aligned= 10270969	Unaligned= 8152
12 length=	120129022	Aligned= 9274371	Unaligned= 5657
13 length=	120421639	Aligned= 8134780	Unaligned= 7328
14 length=	124902244	Aligned= 8403182	Unaligned= 5153
15 length=	104043685	Aligned= 7303140	Unaligned= 4161
16 length=	98207768	Aligned= 6225387	Unaligned= 8773
17 length=	94987271	Aligned= 7749809	Unaligned= 10793
18 length=	90702639	Aligned= 5994087	Unaligned= 5675
19 length=	61431566	Aligned= 4448384	Unaligned= 3361
2 length=	182113224	Aligned= 29653807	Unaligned= 13262
3 length=	160039680	Aligned= 9831919	Unaligned= 6946
4 length=	156508116	Aligned= 11714997	Unaligned= 8333
5 length=	151834684	Aligned= 11530371	Unaligned= 8163
6 length=	149736546	Aligned= 10361191	Unaligned= 6764
7 length=	145441459	Aligned= 11010290	Unaligned= 6922
8 length=	129401213	Aligned= 9374462	Unaligned= 6115
9 length=	124595110	Aligned= 21805615	Unaligned= 10100
MT length=	16299	Aligned= 4417	Unaligned= 3
X length=	171031299	Aligned= 7948156	Unaligned= 4931
Y length=	91744698	Aligned= 207865	Unaligned= 651
JH584299.1 length=	953012	Aligned= 17147	Unaligned= 8
GL456233.1 length=	336933	Aligned= 15820	Unaligned= 30
JH584301.1 length=	259875	Aligned= 137	Unaligned= 1
GL456211.1 length=	241735	Aligned= 41738	Unaligned= 21
GL456350.1 length=	227966	Aligned= 21763	Unaligned= 7
JH584293.1 length=	207968	Aligned= 20574	Unaligned= 11
GL456221.1 length=	206961	Aligned= 38745	Unaligned= 12
JH584297.1 length=	205776	Aligned= 3799	Unaligned= 0
JH584296.1 length=	199368	Aligned= 2261	Unaligned= 1
GL456354.1 length=	195993	Aligned= 3438	Unaligned= 1
JH584294.1 length=	191905	Aligned= 16059	Unaligned= 12
JH584298.1 length=	184189	Aligned= 4961	Unaligned= 2
JH584300.1 length=	182347	Aligned= 88	Unaligned= 1
GL456219.1 length=	175968	Aligned= 5819	Unaligned= 2
GL456210.1 length=	169725	Aligned= 23996	Unaligned= 13
JH584303.1 length=	158099	Aligned= 317	Unaligned= 0
JH584302.1 length=	155838	Aligned= 44	Unaligned= 1
GL456212.1 length=	153618	Aligned= 34639	Unaligned= 10
JH584304.1 length=	114452	Aligned= 2842316	Unaligned= 1370
GL456379.1 length=	72385	Aligned= 3554	Unaligned= 0
GL456216.1 length=	66673	Aligned= 9559	Unaligned= 82
GL456393.1 length=	55711	Aligned= 24371	Unaligned= 332
GL456366.1 length=	47073	Aligned= 3386	Unaligned= 0
GL456367.1 length=	42057	Aligned= 5653	Unaligned= 8
GL456239.1 length=	40056	Aligned= 11232	Unaligned= 75
GL456213.1 length=	39340	Aligned= 2143	Unaligned= 1
GL456383.1 length=	38659	Aligned= 21778	Unaligned= 97
GL456385.1 length=	35240	Aligned= 2044	Unaligned= 0
GL456360.1 length=	31704	Aligned= 2272	Unaligned= 2
GL456378.1 length=	31602	Aligned= 8843	Unaligned= 2
GL456389.1 length=	28772	Aligned= 15255	Unaligned= 60
GL456372.1 length=	28664	Aligned= 2162	Unaligned= 0
GL456370.1 length=	26764	Aligned= 5649	Unaligned= 84
GL456381.1 length=	25871	Aligned= 4071	Unaligned= 71
GL456387.1 length=	24685	Aligned= 7166	Unaligned= 68
GL456390.1 length=	24668	Aligned= 24837	Unaligned= 175
GL456394.1 length=	24323	Aligned= 3379	Unaligned= 46
GL456392.1 length=	23629	Aligned= 31095	Unaligned= 108
GL456382.1 length=	23158	Aligned= 1246	Unaligned= 0
GL456359.1 length=	22974	Aligned= 1010	Unaligned= 0
GL456396.1 length=	21240	Aligned= 19597	Unaligned= 86
GL456368.1 length=	20208	Aligned= 1772	Unaligned= 1
JH584292.1 length=	14945	Aligned= 971	Unaligned= 2
JH584295.1 length=	1976	Aligned= 183	Unaligned= 16
NoCoordinateCount= 164748
