## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=../output/I34782-L1_S73_L003.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.pdf INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34782-L1_S73_L003.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34782-L1_S73_L003.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 25 19:44:49 CET 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
397	377	60	2	189283098	403,464711	97,05695	71775424	FR	23	45	69	93	121	151	187	237	317	395	591			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	335
3	328
4	336
5	357
6	368
7	356
8	354
9	375
10	367
11	380
12	386
13	412
14	435
15	465
16	496
17	555
18	573
19	1874
20	2255
21	2562
22	1289
23	1118
24	1018
25	1234
26	944
27	976
28	935
29	833
30	936
31	970
32	975
33	868
34	866
35	873
36	858
37	880
38	903
39	897
40	926
41	927
42	998
43	1236
44	1314
45	1266
46	1407
47	1365
48	1433
49	1388
50	1377
51	1587
52	1416
53	1429
54	1436
55	1454
56	1509
57	1478
58	1597
59	1541
60	1658
61	1650
62	1733
63	1721
64	1708
65	1823
66	1856
67	1771
68	1744
69	1823
70	1857
71	1894
72	1906
73	2159
74	2376
75	2512
76	2617
77	2695
78	2772
79	2765
80	2804
81	2813
82	2948
83	2922
84	2982
85	3134
86	3158
87	3268
88	3251
89	3322
90	3468
91	3453
92	3666
93	3558
94	3496
95	3621
96	3676
97	3784
98	3844
99	3847
100	3972
101	3937
102	4005
103	3986
104	4114
105	4074
106	4277
107	4594
108	4693
109	4886
110	4799
111	4993
112	5007
113	5037
114	4977
115	5072
116	5143
117	5192
118	5286
119	5311
120	5487
121	5587
122	5601
123	5632
124	5782
125	5785
126	5747
127	5909
128	6103
129	6027
130	6209
131	6169
132	6440
133	6447
134	6689
135	6683
136	6834
137	6748
138	7003
139	7167
140	7322
141	7421
142	7405
143	7572
144	8024
145	8245
146	8260
147	8600
148	8922
149	8738
150	8987
151	8901
152	9130
153	9229
154	9346
155	9362
156	9582
157	9837
158	9918
159	10128
160	10256
161	10634
162	10499
163	10770
164	11042
165	11109
166	11271
167	11443
168	11711
169	11921
170	12273
171	12547
172	12745
173	12949
174	12995
175	13178
176	13475
177	13970
178	14165
179	14479
180	14796
181	15044
182	15029
183	15526
184	15566
185	16018
186	16694
187	17403
188	17453
189	17782
190	18137
191	18582
192	18752
193	19255
194	19568
195	19638
196	20321
197	21041
198	21203
199	21641
200	22197
