## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=../output/I34779-L1_S70_L003.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.pdf INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34779-L1_S70_L003.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34779-L1_S70_L003.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 26 11:05:29 CET 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
403	389	60	2	189465190	408,422488	97,44144	77479370	FR	23	45	69	93	121	151	187	237	317	399	599			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	411
3	406
4	406
5	421
6	430
7	434
8	407
9	445
10	465
11	455
12	432
13	465
14	452
15	490
16	477
17	491
18	580
19	1819
20	2427
21	2143
22	1472
23	1206
24	1048
25	1236
26	1039
27	924
28	1063
29	921
30	994
31	1066
32	1001
33	960
34	970
35	979
36	944
37	991
38	944
39	1019
40	981
41	1017
42	1047
43	1062
44	1068
45	1111
46	1147
47	1201
48	1479
49	1504
50	1588
51	1804
52	1617
53	1651
54	1693
55	1650
56	1612
57	1696
58	1747
59	1767
60	1788
61	1915
62	1910
63	2003
64	2009
65	1998
66	2129
67	2038
68	2159
69	2137
70	2202
71	2281
72	2229
73	2287
74	2175
75	2256
76	2354
77	2316
78	2657
79	2952
80	3186
81	3157
82	3224
83	3381
84	3403
85	3436
86	3587
87	3559
88	3648
89	3750
90	3819
91	3770
92	3958
93	3860
94	3989
95	3959
96	4193
97	4146
98	4221
99	4336
100	4352
101	4493
102	4586
103	4477
104	4649
105	4689
106	4790
107	4798
108	4838
109	4829
110	4920
111	5065
112	5670
113	5642
114	5744
115	5871
116	5728
117	5793
118	5946
119	6041
120	6199
121	6190
122	6329
123	6454
124	6506
125	6617
126	6426
127	6772
128	6918
129	6898
130	6938
131	7231
132	7205
133	7390
134	7496
135	7548
136	7731
137	7887
138	8015
139	8035
140	8092
141	8397
142	8454
143	8598
144	8630
145	8750
146	8995
147	8987
148	9428
149	9543
150	10001
151	10097
152	10247
153	10360
154	10188
155	10327
156	10618
157	10504
158	10633
159	10812
160	11078
161	11257
162	11359
163	11592
164	11874
165	12137
166	12029
167	12388
168	12272
169	12538
170	12675
171	13158
172	13439
173	13431
174	13703
175	13789
176	14031
177	14005
178	14415
179	14941
180	15064
181	15361
182	15290
183	15488
184	15744
185	16067
186	16658
187	16767
188	17005
189	17477
190	17696
191	18210
192	18713
193	19268
194	19147
195	19778
196	20134
197	20500
198	20604
