## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=../output/I34784-L1_S75_L003.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.pdf INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34784-L1_S75_L003.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34784-L1_S75_L003.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 26 00:35:22 CET 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
414	400	63	2	190631310	419,052404	104,273934	61509948	FR	25	49	73	99	127	161	199	251	341	433	653			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	441
3	438
4	446
5	464
6	444
7	467
8	459
9	492
10	531
11	527
12	593
13	585
14	599
15	602
16	637
17	686
18	763
19	1762
20	2364
21	3509
22	1350
23	1110
24	1069
25	1254
26	1106
27	999
28	1030
29	995
30	1104
31	1076
32	1032
33	1039
34	1038
35	1029
36	1046
37	1077
38	1076
39	1095
40	1280
41	1402
42	1462
43	1516
44	1578
45	1559
46	1754
47	1620
48	1753
49	1727
50	1718
51	1965
52	1836
53	1858
54	1892
55	1915
56	1933
57	2117
58	1987
59	2137
60	2080
61	2276
62	2326
63	2266
64	2354
65	2530
66	2602
67	2632
68	2607
69	2580
70	2803
71	2807
72	3009
73	3513
74	3469
75	3726
76	3775
77	3776
78	3866
79	3853
80	3935
81	4040
82	4064
83	4166
84	4216
85	4356
86	4342
87	4465
88	4487
89	4629
90	4728
91	4681
92	4825
93	4859
94	4854
95	4940
96	4996
97	4982
98	5131
99	5239
100	5286
101	5311
102	5433
103	5543
104	5441
105	5601
106	5564
107	5770
108	6046
109	6337
110	6357
111	6400
112	6476
113	6575
114	6558
115	6693
116	6433
117	6618
118	6851
119	6791
120	6929
121	6888
122	7042
123	7262
124	7010
125	7201
126	7219
127	7410
128	7258
129	7560
130	7598
131	7601
132	7662
133	7852
134	7923
135	8009
136	8055
137	8111
138	8182
139	8117
140	8388
141	8617
142	8469
143	8716
144	8510
145	8735
146	8799
147	9132
148	9819
149	9640
150	9615
151	9988
152	9952
153	9903
154	10113
155	9998
156	9900
157	10277
158	10297
159	10289
160	10229
161	10547
162	10644
163	10650
164	10888
165	11122
166	11170
167	11140
168	11299
169	11641
170	11744
171	11761
172	11929
173	12141
174	12089
175	12255
176	12592
177	12595
178	12619
179	12905
180	13040
181	13308
182	13265
183	13570
184	13855
185	13807
186	14333
187	14228
188	14567
189	14661
190	14983
191	15129
192	15926
193	16083
194	16393
195	16332
196	16742
197	16969
